Strain	RepliconType
NC_008392.1	2
NZ_CP015035.1	2
NZ_CP013434.1	2
NZ_CP009632.1	2
NC_009254.1	2
NZ_CP013441.1	2
NZ_CP013421.1	2
NC_010512.1	2
NZ_CP013405.1	2
NZ_CP013456.1	2
NZ_CP012983.1	2
NC_008062.1	2
NZ_CP023520.1	2
NZ_CP022082.1	2
NZ_CP007785.1	2
NZ_CP007782.1	2
NZ_CP008728.1	2
NZ_CP013395.1	2
NC_010557.1	2
NZ_CP013451.1	2
NZ_CP013399.1	2
NC_017922.1	2
NZ_CP015037.1	2
NZ_CP017240.1	2
NC_008544.1	2
NZ_CP019669.1	2
NZ_CP011505.1	2
NZ_HG938372.1	2
NZ_CP013367.1	2
NZ_CP019675.1	2
NZ_CP020601.1	2
NZ_CP007779.1	2
NZ_CP011919.1	2
NZ_CP019667.1	2
NZ_CP019673.1	2
NZ_AP018113.1	2
NZ_CP013368.1	2
NZ_CP009487.1	2
NC_010087.1	2
NZ_CP013364.1	2
NZ_CP013402.1	2
NZ_CP013468.1	2
NZ_CP013437.1	2
NZ_CP013460.1	2
NC_011002.1	2
NZ_CP013442.1	2
NZ_CP013445.1	2
NZ_CP009794.1	2
NZ_CP013465.1	2
NZ_CM002279.1	2
NZ_CP013432.1	2
NZ_CP009830.1	2
NC_015137.1	3
NC_014118.1	3
NC_014540.1	3
NZ_CP012193.1	3
NC_021294.1	3
NZ_AP014577.1	3
NC_016625.1	3
NZ_CP014507.1	3
NZ_CP016000.1	3
NZ_CP013348.1	3
NZ_CP012747.1	3
NZ_CP013103.1	3
NZ_CP010027.1	3
NC_018672.1	3
NC_010623.1	3
NC_010676.1	3
NZ_CP022990.1	3
NZ_CP018812.1	3
NZ_CP017562.1	3
NZ_CP008762.1	3
NZ_CP014579.1	3
NC_014718.1	4
NZ_CP013349.1	5
NZ_CP012748.1	5
NZ_CP013104.1	5
NC_016626.1	5
NC_010625.1	5
NZ_CP016001.1	5
NZ_AP014578.1	5
NC_016590.1	5
NZ_CP016002.1	5
NZ_CP008761.1	5
NZ_AP014579.1	5
NC_014119.1	5
NC_021289.1	5
NZ_CP017563.1	5
NC_021288.1	5
NZ_CP014506.1	5
NZ_CP010537.1	6
NZ_CP010517.1	6
NC_007974.2	6
NC_015723.1	6
NZ_CP017758.1	6
NC_010530.1	6
NC_008314.1	6
NC_022514.1	6
NC_007348.1	6
NZ_CP014845.1	6
NZ_CP017755.1	6
NZ_CP017749.1	6
NZ_CP017752.1	6
NZ_CP012606.1	7
NZ_CP010800.1	7
NZ_CP011258.1	7
NC_012857.1	7
NC_017589.1	7
NZ_CP016915.1	7
NZ_CP015116.1	7
NZ_CP016555.1	7
NZ_CP016613.1	7
NC_021745.1	7
NC_003296.1	7
NZ_CP012944.1	7
NZ_CP014703.1	7
NZ_CP016905.1	7
NZ_CP009763.1	7
NC_017575.1	7
NC_014310.1	7
NZ_CP021653.1	7
NZ_CP021767.1	7
NZ_CP021449.1	7
NZ_CP012940.1	7
NZ_CP012688.1	7
NZ_CP015851.1	7
NZ_CP016023.1	7
NC_010678.1	7
NZ_CP023538.1	7
